customer_id,cust_id,email,country,currency,region_code,created_date
C0000001,CUS0000001,user1@example.com,US,EUR,R04,2023-02-09
C0000002,C0000002,user2@example.com,FR,EUR,R02,2023-06-13
C0000003,C0000003,user3@example.com,FR,EUR,R06,2023-01-02
C0000004,C0000004,user4@example.com,ES,PLN,R13,2023-03-13
C0000005,CUS0000005,user5@example.com,ES,USD,R02,2023-04-05
C0000006,C0000006,user6@example.com,US,PLN,R10,2024-03-16
C0000007,C0000007,user7@example.com,DE,EUR,R25,2023-11-09
C0000008,C0000008,user8@example.com,NL,USD,R20,2024-10-16
C0000009,C0000009,user9@example.com,NL,EUR,R13,2024-10-23
C0000010,C0000010,user10@example.com,GB,EUR,R22,2024-09-02
C0000011,C0000011,user11@example.com,PL,EUR,R12,2024-06-06
C0000012,CUS0000012,user12@example.com,ES,USD,R03,2024-05-13
C0000013,C0000013,user13@example.com,US,EUR,R13,2023-03-17
C0000014,C0000014,user14@example.com,PL,EUR,R01,2023-07-13
C0000015,C0000015,user15@example.com,NL,EUR,R12,2023-08-23
C0000016,C0000016,user16@example.com,FR,EUR,R02,2024-10-16
C0000017,C0000017,user17@example.com,PL,EUR,R24,2023-08-27
C0000018,C0000018,user18@example.com,SE,USD,R18,2024-03-31
C0000019,C0000019,user19@example.com,PL,USD,R15,2023-07-17
C0000020,CUS0000020,user20@example.com,ES,EUR,R14,2024-10-11
C0000021,C0000021,user21@example.com,US,USD,R12,2023-04-01
C0000022,CUS0000022,user22@example.com,NL,EUR,R13,2023-03-17
C0000023,C0000023,user23@example.com,GB,USD,R11,2023-09-26
C0000024,C0000024,user24@example.com,US,EUR,R14,2023-12-23
C0000025,CUS0000025,user25@example.com,GB,USD,R14,2023-03-07
C0000026,C0000026,user26@example.com,GB,EUR,R08,2023-03-22
C0000027,C0000027,user27@example.com,GB,EUR,R13,2024-07-04
C0000028,C0000028,user28@example.com,SE,EUR,R10,2024-02-03
C0000029,C0000029,user29@example.com,FR,EUR,R04,2024-10-06
C0000030,C0000030,user30@example.com,FR,EUR,R24,2023-05-20
C0000031,C0000031,user31@example.com,US,EUR,R24,2024-11-15
C0000032,C0000032,user32@example.com,PL,EUR,R06,2024-06-18
C0000033,C0000033,user33@example.com,FR,EUR,R11,2024-05-27
C0000034,CUS0000034,user34@example.com,ES,USD,R19,2023-12-15
C0000035,CUS0000035,user35@example.com,SE,USD,R11,2023-09-28
C0000036,C0000036,user36@example.com,SE,USD,R07,2024-06-01
C0000037,C0000037,user37@example.com,SE,PLN,R07,2023-10-02
C0000038,C0000038,user38@example.com,US,EUR,R11,2024-07-21
C0000039,C0000039,user39@example.com,SE,EUR,R18,2023-05-19
C0000040,C0000040,user40@example.com,PL,EUR,R25,2023-01-29
C0000041,C0000041,user41@example.com,NL,EUR,R16,2023-12-15
C0000042,C0000042,user42@example.com,US,EUR,R05,2024-09-16
C0000043,C0000043,user43@example.com,NL,EUR,R20,2024-05-21
C0000044,C0000044,user44@example.com,FR,EUR,R12,2024-04-16
C0000045,C0000045,user45@example.com,GB,EUR,R12,2023-08-10
C0000046,C0000046,user46@example.com,DE,EUR,R06,2024-01-27
C0000047,C0000047,user47@example.com,US,EUR,R17,2023-09-29
C0000048,C0000048,user48@example.com,US,EUR,R12,2023-03-12
C0000049,C0000049,user49@example.com,US,USD,R20,2023-11-26
C0000050,CUS0000050,user50@example.com,PL,EUR,R10,2023-04-21
C0000051,C0000051,user51@example.com,ES,EUR,R08,2024-10-24
C0000052,C0000052,user52@example.com,NL,EUR,R12,2023-09-12
C0000053,C0000053,user53@example.com,PL,EUR,R09,2023-12-12
