contact_id,acct_id,email,created_date,country
CT00000001,A0003594,contact1@example.com,2022-02-01,FR
CT00000002,A0004468,contact2@example.com,2021-10-14,FR
CT00000003,A0001213,contact3@example.com,2023-09-19,US
CT00000004,A0002577,contact4@example.com,2021-11-19,US
CT00000005,A0004919,contact5@example.com,2022-03-25,FR
CT00000006,A0002757,contact6@example.com,2023-11-30,PL
CT00000007,A0004557,contact7@example.com,2021-06-12,PL
CT00000008,A0002766,contact8@example.com,2023-02-19,DE
CT00000009,A0001403,contact9@example.com,2024-04-29,FR
CT00000010,A0001696,contact10@example.com,2023-06-12,DE
CT00000011,A0001695,contact11@example.com,2023-09-11,PL
CT00000012,A0003690,contact12@example.com,2022-04-24,DE
CT00000013,A0002959,contact13@example.com,2022-03-07,US
CT00000014,A0004507,contact14@example.com,2024-09-17,PL
CT00000015,A0001264,contact15@example.com,2022-05-26,US
CT00000016,A0003186,contact16@example.com,2021-09-15,DE
CT00000017,A0001222,contact17@example.com,2022-06-08,US
CT00000018,A0001442,contact18@example.com,2021-10-25,PL
CT00000019,A0003739,contact19@example.com,2023-09-03,US
CT00000020,A0000529,contact20@example.com,2021-01-23,DE
CT00000021,A0000226,contact21@example.com,2021-01-23,US
CT00000022,A0005347,contact22@example.com,2021-07-07,DE
CT00000023,A0002512,contact23@example.com,2021-03-23,PL
CT00000024,A0000302,contact24@example.com,2021-01-14,US
CT00000025,A0003824,contact25@example.com,2022-11-25,US
CT00000026,A0003488,contact26@example.com,2021-07-04,FR
CT00000027,A0002952,contact27@example.com,2022-08-26,DE
CT00000028,A0005393,contact28@example.com,2024-05-30,US
CT00000029,A0003940,contact29@example.com,2023-08-03,US
CT00000030,A0002194,contact30@example.com,2023-09-12,US
CT00000031,A0005853,contact31@example.com,2022-09-30,US
CT00000032,A0001730,contact32@example.com,2022-01-20,FR
CT00000033,A0003501,contact33@example.com,2023-07-09,US
CT00000034,A0003102,contact34@example.com,2022-09-11,DE
CT00000035,A0002415,contact35@example.com,2023-08-25,FR
CT00000036,ACC0005499,contact36@example.com,2022-01-12,US
CT00000037,A0000044,contact37@example.com,2022-08-14,PL
CT00000038,A0004678,contact38@example.com,2022-07-20,FR
CT00000039,A0004016,contact39@example.com,2024-10-07,US
CT00000040,A0005376,contact40@example.com,2024-02-08,DE
CT00000041,A0002017,contact41@example.com,2024-10-20,FR
CT00000042,ACC0000818,contact42@example.com,2023-04-13,DE
CT00000043,A0001113,contact43@example.com,2024-08-10,US
CT00000044,A0000644,contact44@example.com,2023-03-02,DE
CT00000045,A0000961,contact45@example.com,2022-01-24,FR
